"seasonNum", "episodeNum", "sceneNum", "sceneStart", "sceneEnd", "location", "subLocation", "characters"
1, 1, 0, "0:48:21", "0:48:11", "Hawkins, Indiana", "", ""
1, 1, 1, "0:48:11", "0:47:58", "Hawkins, Indiana", "Hawkins National Lab", ""
1, 1, 2, "0:47:58", "0:46:59", "Hawkins, Indiana", "Hawkins National Lab", "Elevator Scientist"
1, 1, 3, "0:46:59", "0:46:51", "Hawkins, Indiana", "Hawkins National Lab", "Elevator Scientist, The Monster"
1, 1, 4, "0:46:51", "0:46:43", "Hawkins, Indiana", "Wheeler Home", ""
1, 1, 5, "0:46:43", "0:45:33", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Dustin Henderson, Lucas Sinclair, Will Byers"
1, 1, 6, "0:45:33", "0:45:23", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Dustin Henderson, Lucas Sinclair, Will Byers, Karen Wheeler"
1, 1, 7, "0:45:23", "0:44:57", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Karen Wheeler, Ted Wheeler"
1, 1, 8, "0:44:57", "0:44:40", "Hawkins, Indiana", "Wheeler Home", "Dustin Henderson, Lucas Sinclair, Will Byers"
1, 1, 9, "0:44:40", "0:44:17", "Hawkins, Indiana", "Wheeler Home", "Dustin Henderson, Nancy Wheeler"
1, 1, 10, "0:44:17", "0:43:57", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Dustin Henderson, Lucas Sinclair, Will Byers"
1, 1, 11, "0:43:57", "0:43:43", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Will Byers"
1, 1, 12, "0:43:43", "0:43:37", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 13, "0:43:37", "0:43:22", "Hawkins, Indiana", "Road", "Dustin Henderson, Lucas Sinclair, Will Byers"
1, 1, 14, "0:43:22", "0:43:01", "Hawkins, Indiana", "Road", "Dustin Henderson, Will Byers"
1, 1, 15, "0:43:01", "0:42:37", "Hawkins, Indiana", "Hawkins National Lab", "Will Byers"
1, 1, 16, "0:42:37", "0:42:36", "Hawkins, Indiana", "Hawkins National Lab", "Will Byers, The Monster"
1, 1, 17, "0:42:36", "0:42:18", "Hawkins, Indiana", "Hawkins National Lab", "Will Byers"
1, 1, 18, "0:42:18", "0:41:50", "Hawkins, Indiana", "Byers Home", "Will Byers"
1, 1, 19, "0:41:50", "0:41:47", "Hawkins, Indiana", "Byers Home", "Will Byers, The Monster"
1, 1, 20, "0:41:47", "0:41:27", "Hawkins, Indiana", "Byers Home", "Will Byers"
1, 1, 21, "0:41:27", "0:41:23", "Hawkins, Indiana", "Byers Home", "Will Byers, The Monster"
1, 1, 22, "0:41:23", "0:40:18", "Hawkins, Indiana", "Byers Home", "Will Byers"
1, 1, 23, "0:40:18", "0:40:05", "Hawkins, Indiana", "Byers Home", ""
1, 1, 24, "0:39:03", "0:37:26", "Hawkins, Indiana", "Hopper Home", "Jim Hopper"
1, 1, 25, "0:37:26", "0:37:20", "Hawkins, Indiana", "Byers Home", ""
1, 1, 26, "0:37:20", "0:36:22", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 1, 27, "0:36:22", "0:36:17", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 28, "0:36:17", "0:36:15", "Hawkins, Indiana", "Byers Home", "Joyce Byers"
1, 1, 29, "0:36:15", "0:36:10", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 30, "0:36:10", "0:36:09", "Hawkins, Indiana", "Byers Home", "Joyce Byers"
1, 1, 31, "0:36:09", "0:36:07", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
